z in mm,sigma xx in mm2,sigma xy in mm2,ysigma yx in mm2,sigma yy in mm2
660.0,181.19382099191108,12.092553643645346,12.09255364364535,153.86262243495625
659.3785310734463,179.708584183279,12.428915267706843,12.428915267706843,153.74310855870144
658.7570621468926,183.2272273984876,12.143776858053737,12.14377685805374,154.68952303972384
658.1355932203389,182.31329615476582,12.539553413975536,12.539553413975536,154.61855744761127
657.5141242937854,182.37813711438662,12.654347407402195,12.654347407402193,154.15800487111488
656.8926553672317,181.05318037319353,12.213809954043635,12.213809954043633,157.40320079452198
656.271186440678,181.2423805528268,12.707493966520449,12.707493966520452,157.25668168670794
655.6497175141243,181.44198892364847,12.244704323434176,12.244704323434174,156.8360832358714
655.0282485875706,182.3522867034796,12.286744444973252,12.286744444973252,156.2764949606404
654.4067796610169,182.44246629837627,13.781806384086119,13.781806384086119,155.2688393071499
653.7853107344632,182.93437478146132,13.209166779533463,13.209166779533462,160.26923160182167
653.1638418079096,185.38185987828757,13.213243519186188,13.213243519186188,158.2808602253102
652.542372881356,181.34932021819083,14.001609544938127,14.001609544938123,158.72041886812747
651.9209039548023,180.8689756221898,13.712901114952942,13.712901114952942,158.39853677505317
651.2994350282486,179.97423835538766,12.617333501521449,12.617333501521452,154.23964198329043
650.6779661016949,180.58490562427028,13.384168731918514,13.384168731918518,158.61649563452406
650.0564971751412,181.61232683965045,13.554316836776643,13.554316836776643,160.1185056076111
649.4350282485875,178.70022049410352,13.601914782784128,13.60191478278413,157.15090531436837
648.8135593220339,181.01889588941884,13.449215719813886,13.449215719813882,157.9599187145039
648.1920903954802,179.61557594984555,12.965526417523526,12.96552641752352,157.7488164539766
647.5706214689266,180.65868429485337,12.988492837645003,12.988492837645003,156.46695366466793
646.9491525423729,182.53714718554255,13.135041614199405,13.135041614199405,161.41298747188213
646.3276836158192,179.63030376765147,13.647331521046343,13.647331521046345,157.51114044083687
645.7062146892655,182.1295467392847,12.796824723773469,12.796824723773469,159.79585830904497
645.0847457627119,180.485830081086,13.342255278288032,13.34225527828803,159.59037188218812
644.4632768361582,181.5329297947232,13.246109168465352,13.246109168465354,159.5942961092252
643.8418079096045,180.78719843458867,13.600371447864866,13.600371447864866,160.14183390743452
643.2203389830509,180.08480053915287,13.330931551132032,13.330931551132032,157.8102347190885
642.5988700564972,180.0350829386357,13.423259838299323,13.423259838299323,158.04658894441525
641.9774011299435,178.01764397410304,13.48619688197155,13.48619688197155,157.22482205089693
641.3559322033898,179.92749482207597,13.337158679172585,13.337158679172585,161.31266576452919
640.7344632768362,179.14555802602396,13.202229815056603,13.202229815056603,158.34210845446614
640.1129943502825,181.95586306716424,12.877570220900546,12.877570220900546,159.3547763868147
639.4915254237288,180.3749255509327,13.404996284687629,13.404996284687627,160.03646045855547
638.8700564971751,178.42442557538732,14.362195311801687,14.362195311801688,158.70730278249405
638.2485875706215,178.39331788250428,14.079771602486153,14.079771602486149,160.4054663283171
637.6271186440678,181.49400708754817,14.098076320012419,14.098076320012419,160.99561525907328
637.0056497175141,179.9119292789062,13.834230741724989,13.834230741724989,160.21740649688772
636.3841807909605,179.17434989851048,13.920409653067537,13.92040965306754,160.17845278140484
635.7627118644068,180.70100062547868,13.941100851109383,13.941100851109383,161.09277489615812
635.1412429378531,179.6885404402882,13.676072304681655,13.676072304681655,161.16193007674107
634.5197740112994,180.2860315828816,13.487244692710354,13.487244692710357,160.39286950938987
633.8983050847457,181.43503267396062,13.630562638931483,13.630562638931483,162.09390323384662
