z in mm,x in mm,y in mm
660.0,-1.3898116462332508,-1.3340475517999864
659.3785310734463,-1.3744105301697933,-1.4439824355217887
658.7570621468926,-1.33260012317011,-1.4045820086844425
658.1355932203389,-1.3305991631033176,-1.5076985596101773
657.5141242937854,-1.3524766082741921,-1.441729974012985
656.8926553672317,-1.3165798096792523,-1.4608965055149783
656.271186440678,-1.285200112706813,-1.435518179229648
655.6497175141243,-1.3619509525167495,-1.515916850189937
655.0282485875706,-1.3256462623568286,-1.5084953426978498
654.4067796610169,-1.2673348811613259,-1.326163418003106
653.7853107344632,-1.3006073768833954,-1.4601855830023946
653.1638418079096,-1.2840626660007153,-1.320862031492195
652.542372881356,-1.2712560003162885,-1.328798756282559
651.9209039548023,-1.2586253801615388,-1.341298418817958
651.2994350282486,-1.3227386198493092,-1.4460785475130873
650.6779661016949,-1.2755568947036031,-1.421387113883462
650.0564971751412,-1.1950351357106932,-1.4919354628279577
649.4350282485875,-1.3008015540837912,-1.462515578582835
648.8135593220339,-1.2386601113929652,-1.463954134672886
648.1920903954802,-1.3017765757427744,-1.549753353122172
647.5706214689266,-1.235204542371076,-1.512098077049984
646.9491525423729,-1.189364756496903,-1.5370873724291907
646.3276836158192,-1.2575437748675324,-1.4964503528659028
645.7062146892655,-1.188308467328269,-1.4743311709171876
645.0847457627119,-1.2150498941845314,-1.493124721415872
644.4632768361582,-1.2158756166367477,-1.4870502394031242
643.8418079096045,-1.2248916680532782,-1.5146979515630175
643.2203389830509,-1.2753803568859705,-1.5613784211372002
642.5988700564972,-1.1759448527285978,-1.586423700410605
641.9774011299435,-1.2054611685779597,-1.5391059157183808
641.3559322033898,-1.1980710263055339,-1.5005501012508589
640.7344632768362,-1.1974247493478352,-1.4881362865657028
640.1129943502825,-1.180632593174471,-1.5962515497157683
639.4915254237288,-1.1619836036527358,-1.6175821605478733
638.8700564971751,-1.2059523207156781,-1.4507015704338342
638.2485875706215,-1.1693280059136388,-1.6316850262183076
637.6271186440678,-1.0832444238664798,-1.535869248409914
637.0056497175141,-1.1125654229343815,-1.5354312539350115
636.3841807909605,-1.1579840853701522,-1.664320354440347
635.7627118644068,-1.1191476467714232,-1.6410789997943422
635.1412429378531,-1.1341914146368157,-1.6435565134574972
634.5197740112994,-1.0996661266233418,-1.5642156478593516
633.8983050847457,-1.1184945201298528,-1.550222777662051
633.276836158192,-1.0908207523887932,-1.5357973327011736
632.6553672316384,-1.106560123400536,-1.537625741219758
632.0338983050848,-1.0760813945436876,-1.5051942873741455
631.4124293785311,-1.1145669375461265,-1.5783786129597417
630.7909604519774,-1.047256257941594,-1.6458820152180356
630.1694915254237,-1.050857581872256,-1.6251710299944175
629.54802259887,-1.0609755821842843,-1.6321681834344377
628.9265536723163,-1.0973567273717473,-1.6627256518991842
628.3050847457627,-1.0908298380574382,-1.6728275140839375
627.6836158192091,-1.0539860867989033,-1.5734448966234396
627.0621468926554,-1.0676551094040863,-1.6130786580371588
626.4406779661017,-1.0452376712987372,-1.5967015890927274
625.819209039548,-1.0661042837978865,-1.5779194473012232
625.1977401129943,-1.0666993679279824,-1.6201880247166014
624.5762711864406,-1.104669473115702,-1.6843440553122324
623.954802259887,-1.049393602584365,-1.6756514423361288
623.3333333333334,-1.0537024769505605,-1.6612038036757184
622.7118644067797,-1.0344521347552236,-1.6207284586501585
622.090395480226,-1.0549948859646028,-1.6357006156290892
621.4689265536723,-1.0636509211089393,-1.6495946125685719
620.8474576271186,-1.0050738363288534,-1.6954929589245593
620.2259887005649,-0.9976278891163773,-1.6356718580476661
619.6045197740114,-1.0472013552723405,-1.669442126104193
618.9830508474577,-1.00347854460177,-1.621390231044529
618.361581920904,-0.9812881496507316,-1.6979369889760236
617.7401129943503,-0.9884846525414,-1.6336099439161371
617.1186440677966,-0.9591345988824204,-1.6051670418848787
616.4971751412429,-1.0250593077050927,-1.666933494666696
615.8757062146892,-0.963574458234353,-1.6371743824693725
615.2542372881356,-0.9129403362212323,-1.6848872815894684
614.632768361582,-0.9267159212204046,-1.7459230009097755
614.0112994350283,-1.0091876078084328,-1.733145840794429
613.3898305084746,-1.0189673967124049,-1.748793157114344
612.7683615819209,-0.9607118185296428,-1.7462937428847423
612.1468926553672,-0.9240229309123852,-1.699998350358566
611.5254237288135,-0.8937241267220152,-1.576604409291103
610.9039548022599,-0.9100640293998267,-1.6906528792373634
610.2824858757062,-0.9018327099194261,-1.6587211874960024
609.6610169491526,-0.8581221330546273,-1.6577741083709567
609.0395480225989,-0.9228392825028561,-1.731917202842218
608.4180790960452,-0.91265306611281,-1.6960257192087054
607.7966101694915,-0.8920975962585233,-1.6936144513708788
607.1751412429378,-0.9245817480283964,-1.9068567093507425
606.5536723163842,-0.886451440610133,-1.7735242741212893
605.9322033898305,-0.8561789923344114,-1.7817971521769167
605.3107344632768,-0.8497012034893432,-1.7701591748536787
604.6892655367232,-0.8214074766402942,-1.8479631657976876
604.0677966101695,-0.8472587516436969,-1.8635425101031737
603.4463276836158,-0.8436396953944048,-1.7209509235684763
602.8248587570622,-0.8473625141226151,-1.7992401901979413
602.2033898305085,-0.8312239895814604,-1.664321549429036
601.5819209039548,-0.8414521693441456,-1.8106577222844558
600.9604519774011,-0.8515920111075388,-1.8311978462274285
600.3389830508474,-0.810220543738887,-1.772907905426393
599.7175141242938,-0.7745066372922037,-1.832163616965218
599.0960451977401,-0.8896108698493366,-1.842037379755311
598.4745762711864,-0.8763152525548832,-1.835845128682048
597.8531073446328,-0.8382215137925175,-1.7303664189805694
597.2316384180791,-0.8666689090835453,-1.8270263396227706
596.6101694915254,-0.7557332484064796,-1.9107379771548525
595.9887005649717,-0.8282201935473279,-1.8945285679306638
595.367231638418,-0.8265601564593226,-1.8844967806103454
594.7457627118644,-0.7896689961376463,-1.7447104687805208
594.1242937853108,-0.7767373685794678,-1.709228004563447
593.5028248587571,-0.7947699108386695,-1.8372333538114796
592.8813559322034,-0.8091179919401742,-1.98345296226348
592.2598870056497,-0.7694002630678385,-1.7933260566455786
591.638418079096,-0.7237878254588436,-1.8057410040323707
591.0169491525423,-0.769823484720731,-2.001605215019915
590.3954802259886,-0.7867915183823009,-1.9270156207236773
589.774011299435,-0.7882889720380248,-1.868449613467812
589.1525423728814,-0.7277718044184873,-1.845278700828451
588.5310734463277,-0.7595218062829076,-1.8042826465980868
