z in mm,sigma xx in mm2,sigma xy in mm2,ysigma yx in mm2,sigma yy in mm2
660.0,278.1449478792432,2.8879776059401663,2.8879776059401654,249.9695323679007
659.3510324483776,269.97558432958624,3.244492776886011,3.2444927768860095,234.62543725689542
658.7020648967551,270.8862722289142,3.4750350056514847,3.4750350056514834,234.60346459223854
658.0530973451328,268.00226287758693,3.121808209326327,3.1218082093263266,229.2248597121678
657.4041297935104,268.54555678624666,3.6209753454039495,3.6209753454039495,230.14622961706863
656.7551622418879,268.462386869004,3.203743725110142,3.203743725110142,230.85339893722886
656.1061946902655,268.71267748020637,3.085994546733767,3.085994546733768,231.53520316102154
655.457227138643,268.8669450714107,3.469285024344543,3.4692850243445443,231.41013079303437
654.8082595870206,268.4431754114003,3.6631771776600823,3.6631771776600828,231.98955996701778
654.1592920353983,268.7699820615126,3.1297183486633005,3.1297183486633005,230.54249143918358
653.5103244837758,268.9146363417108,2.6687525521964277,2.6687525521964264,231.77418403221142
652.8613569321534,268.5723323255614,3.3551154039453115,3.35511540394531,230.3175922486242
652.212389380531,269.71007360477705,3.738425343691711,3.738425343691711,231.0721875660878
651.5634218289085,268.53535854758917,2.974614594959264,2.9746145949592626,230.8878850936241
650.9144542772862,268.802363032405,3.4655752582277275,3.4655752582277275,231.46825282559098
650.2654867256637,268.7386510589608,3.1303556123567495,3.1303556123567495,230.91313991788135
649.6165191740413,268.398799747156,2.7337681857495313,2.7337681857495317,232.49611058161565
648.9675516224189,268.69685664992545,3.5098822021159197,3.5098822021159197,231.27033450534137
648.3185840707964,268.6925154073383,3.0809804305675295,3.080980430567527,231.19770273021857
647.669616519174,269.4395786636677,3.0082879541355307,3.0082879541355316,230.35910501045535
647.0206489675517,269.2600750415496,3.097524974350741,3.097524974350741,231.80597215648913
646.3716814159292,268.90281898764914,2.8825656880916144,2.8825656880916153,230.9268070756738
645.7227138643068,270.6636767350415,5.1067184836852375,5.106718483685239,231.84021112278043
645.0737463126844,268.9790189109342,3.651753727585152,3.651753727585153,231.57680132432367
644.4247787610619,269.24688110646196,3.160448156161501,3.160448156161501,232.83269991943658
643.7758112094396,269.04623186797835,2.919049045425582,2.919049045425583,231.51794680796186
643.1268436578171,270.3587630129225,3.5195860792971265,3.519586079297126,231.43896347439474
642.4778761061947,269.8732262571456,3.1919268404113255,3.1919268404113255,231.7332671289482
641.8289085545723,269.6300212035201,3.225297875678564,3.225297875678564,232.25636196628167
641.1799410029498,270.43410471962994,3.371053357565717,3.3710533575657182,231.389161481442
640.5309734513274,269.18437713326955,2.943802784132487,2.943802784132488,231.83854571432175
639.8820058997051,269.2589369655752,4.306338717309037,4.306338717309036,232.8519002844036
639.2330383480826,269.6129380170567,3.1062395607557347,3.106239560755735,231.6236732402105
638.5840707964602,270.25258316966136,3.0734117209736302,3.0734117209736276,232.06280944725748
637.9351032448377,269.7603299430697,3.2924633815637105,3.2924633815637088,232.31585675512898
637.2861356932153,268.9245416649067,3.3243321280050706,3.3243321280050697,232.72728623753486
636.637168141593,269.6589491676503,3.147771911211492,3.147771911211492,232.08834517887394
635.9882005899705,269.3197460892455,2.8002786983192802,2.8002786983192776,233.11632129944442
635.3392330383481,269.51525377601376,2.4518041106328834,2.4518041106328843,232.02324646845736
634.6902654867257,269.3255882958185,3.3575915296781815,3.3575915296781793,233.19576505822604
634.0412979351032,269.4182575536913,3.200854929671281,3.200854929671281,231.9925559360428
633.3923303834808,270.2314524787034,2.814991464287844,2.8149914642878424,232.535314611886
632.7433628318583,270.3449242539938,3.395962180345664,3.395962180345664,232.44394308683536
632.094395280236,269.30814807254256,2.8568176749445184,2.8568176749445198,234.07510306833876
631.4454277286136,270.6614309502737,2.6957222504091747,2.695722250409174,233.09703770651453
630.7964601769911,270.1695008055563,2.822687883124759,2.82268788312476,233.4092366606559
630.1474926253687,270.5945959319063,2.7595232227612065,2.7595232227612065,232.42352612857542
629.4985250737464,270.1546365518833,3.223909255692089,3.2239092556920896,232.4234694318695
628.8495575221239,270.6555753262027,3.455290270328267,3.4552902703282666,232.98225161756963
628.2005899705015,270.39514777774247,3.0754248527974677,3.0754248527974677,232.7874456917349
627.5516224188791,270.1033040932687,3.0647743244720758,3.0647743244720758,232.80498816758634
626.9026548672566,271.01393383585923,3.191558741704575,3.191558741704575,233.047533702286
626.2536873156342,270.71299878503663,3.0486740691891834,3.0486740691891847,233.3164807441815
625.6047197640117,270.94085075901114,2.8701294532161326,2.8701294532161317,233.25649701090362
624.9557522123894,270.873606974078,3.228178742077002,3.228178742077002,232.94452580828
624.306784660767,270.71648284803706,2.7454212627086947,2.7454212627086956,233.6099803754837
623.6578171091445,270.8766048471415,3.0469346309307843,3.0469346309307856,233.7597277919482
623.0088495575221,270.566750130734,3.154986322353973,3.154986322353971,233.60136965632037
622.3598820058997,270.5153891435649,2.87459937419519,2.87459937419519,233.96745026992494
621.7109144542773,270.3656194446349,3.2739290122683427,3.273929012268342,233.15669578071618
621.0619469026549,270.19440331466177,2.9194819391385285,2.919481939138529,234.11704352667257
620.4129793510324,270.22496143164284,3.0918571554631447,3.0918571554631455,233.4622226103366
619.76401179941,270.3746521420083,2.9309533402975183,2.9309533402975196,233.6220533066959
619.1150442477876,270.71380309362337,3.3226237699423344,3.3226237699423358,234.0893944711718
618.4660766961651,272.42252688481085,3.507773010931057,3.507773010931057,232.348127428009
617.8171091445428,270.3680377482551,2.9729104098204595,2.972910409820459,233.20837333241818
617.1681415929204,270.17566039586427,3.02503221030863,3.025032210308629,234.34960843857263
616.5191740412979,270.2122681628533,2.7466936110294915,2.746693611029493,234.2794418974911
615.8702064896755,270.5178143746223,2.9759520435666333,2.975952043566633,233.8283399542882
615.2212389380531,270.2046653298422,3.3760894711579597,3.376089471157959,234.824967551888
614.5722713864307,270.58311164347845,3.013375931032201,3.0133759310322,233.74065112156333
613.9233038348083,270.8224528018115,2.9534389964623564,2.9534389964623564,234.12807498796846
613.2743362831858,271.07574814377654,2.8645573854554254,2.864557385455426,233.53211226097383
612.6253687315634,270.6733036651705,2.8713261458367394,2.871326145836737,234.67504423788952
611.976401179941,271.1554458087378,3.1524857308461223,3.1524857308461223,235.2245608195746
611.3274336283185,271.36219748670646,2.9254462771815533,2.9254462771815524,235.21334197234304
610.6784660766962,270.6450663712651,2.86515226949028,2.8651522694902813,234.59655925828434
610.0294985250738,271.00563117165683,2.992393042816319,2.992393042816318,235.4605268926527
609.3805309734513,271.6778090968032,3.0759650012769484,3.075965001276949,234.75666876807605
608.7315634218289,271.9206598228323,2.8800124652557324,2.880012465255731,234.1790865787481
608.0825958702064,271.7157653825514,3.1309345725132065,3.1309345725132065,234.89322643131055
607.433628318584,270.95699943437404,2.9077619869139415,2.9077619869139433,236.39799014078324
606.7846607669617,271.0423204787304,2.7608307134719854,2.760830713471985,235.89294116774138
606.1356932153392,271.57147571678934,2.7696810865652095,2.769681086565208,234.983571642807
