z in mm,x in mm,y in mm
660.0,-1.3493172078206788,-1.039491569232894
659.3202883625129,-1.915690897535623,-1.3084450266167016
658.6405767250258,-1.9366777317243251,-1.4337625174981612
657.9608650875387,-2.0159116698849298,-1.302435505932942
657.2811534500515,-1.9219765198698318,-1.3255930786019074
656.6014418125644,-1.9649600126686133,-1.2871272069425574
655.9217301750772,-1.9379907879252862,-1.2682853691868101
655.2420185375901,-1.9450714932067064,-1.3223934473110834
654.562306900103,-1.9398671967562315,-1.2635082699056892
653.8825952626158,-2.001602185133844,-1.247752798515261
653.2028836251287,-2.0048704269124027,-1.3996875126183896
652.5231719876416,-1.93642952282129,-1.2811034657143747
651.8434603501545,-1.9395378491130317,-1.3198231563294123
651.1637487126674,-1.834632641419263,-1.1699405553339453
650.4840370751803,-1.855631109709732,-1.1306325702149673
649.8043254376931,-1.8050234809102201,-1.2876673568358374
649.124613800206,-1.8122408360778846,-1.2481400783353767
648.4449021627188,-1.8519141863200188,-1.1601248545934562
647.7651905252317,-1.8894634590922579,-1.110126042246644
647.0854788877446,-1.844163049238879,-1.1094683235681437
646.4057672502574,-1.8742400943419326,-1.1041359479284243
645.7260556127703,-1.9147017383921898,-1.0972522214934457
645.0463439752832,-1.887952981397056,-1.138233582544249
644.3666323377961,-1.8735562175485954,-1.0105164103375508
643.686920700309,-1.8761908624687975,-1.028632771964346
643.0072090628219,-1.8387673973458938,-1.0709773119457255
642.3274974253347,-1.793966095288512,-1.1200517134002481
641.6477857878476,-1.824848012558111,-1.14839430116026
640.9680741503605,-1.8567091406073137,-1.1647126433880046
640.2883625128733,-1.8461050992547388,-1.1165441882108949
639.6086508753862,-1.7624595161178427,-1.1048248959235873
638.928939237899,-1.804443219891084,-1.0989232119353103
638.2492276004119,-1.8307563245336107,-1.0826346872464223
637.5695159629248,-1.794341568297456,-1.1106003061040108
636.8898043254377,-1.8015586721046561,-1.0537515484712823
636.2100926879506,-1.736231209161861,-1.202716393381141
635.5303810504635,-1.8093495169764413,-1.042210828929021
634.8506694129763,-1.768806028712373,-1.1027536371404028
634.1709577754892,-1.7568253207517772,-1.0784693958021194
633.4912461380021,-1.7847902458347402,-1.1727821810748218
632.8115345005149,-1.7640556094256157,-1.126678836851817
632.1318228630278,-1.760021462737266,-1.1523632020987136
631.4521112255406,-1.7657478967309486,-1.1586664376258684
630.7723995880535,-1.769733652994012,-1.1398054071551926
630.0926879505664,-1.7072761088788242,-1.1482470632974806
629.4129763130793,-1.7414754651193736,-1.1726713361577017
628.7332646755922,-1.7115326437480083,-1.16252363716878
628.0535530381051,-1.9292025830296118,-1.2418095885287599
627.373841400618,-1.9205063621687068,-1.291496999446797
626.6941297631308,-1.996362437708065,-1.2715282011194637
626.0144181256437,-1.9700525754568925,-1.3092468446175882
625.3347064881565,-1.9527924197265374,-1.3759770672679477
624.6549948506694,-1.9661611605992146,-1.3621685503094374
623.9752832131823,-1.9856013132384593,-1.3796373747362682
623.2955715756951,-1.9755747661829248,-1.2594976454080662
622.615859938208,-1.9602076256677092,-1.3929801366735688
621.9361483007209,-1.9145867601210123,-1.2908907169712165
621.2564366632338,-1.903945467312695,-1.3466200310724368
620.5767250257467,-1.8773868512753293,-1.3647154723395862
619.8970133882596,-1.9251094482172035,-1.2660069298944125
619.2173017507724,-1.8722336804473823,-1.2995587102981143
618.5375901132853,-1.8657966792068987,-1.3716179064440002
617.8578784757981,-1.8740685018674945,-1.33788908210113
617.178166838311,-1.8444659035548756,-1.3580706464717571
616.4984552008239,-1.8579006132093787,-1.4331610876970289
615.8187435633367,-1.8578095594633857,-1.3882628779574313
615.1390319258496,-1.8355937578019956,-1.3904724613282153
614.4593202883625,-1.8660959218341446,-1.4117471869978757
613.7796086508754,-1.8574822929365624,-1.3707100489877324
613.0998970133883,-1.8342705810460516,-1.369535856877759
612.4201853759012,-1.84925140763682,-1.4707824048794407
611.740473738414,-1.8141994804356287,-1.4537639118500287
611.0607621009269,-1.8665343295405543,-1.364796033560341
610.3810504634398,-1.8345713635175183,-1.4709617537326365
609.7013388259526,-1.81358900680343,-1.4244617067991423
609.0216271884655,-1.7849991333618298,-1.4403466149192485
608.3419155509783,-1.7720109972897389,-1.4001195640919215
607.6622039134912,-1.6845939824363847,-1.4531315498260202
606.9824922760041,-1.7651722788679114,-1.4334154366555818
606.302780638517,-1.7964088638120521,-1.3467645899076512
605.6230690010299,-1.7654888209818749,-1.4568622101855246
604.9433573635428,-1.7463489290172831,-1.4997096314341263
604.2636457260556,-1.7300333440461142,-1.4893705100081598
603.5839340885685,-1.7801522037250628,-1.4212895391302205
602.9042224510814,-1.7840176086594883,-1.5299711009706105
602.2245108135942,-1.753402492152525,-1.4851988268870675
601.5447991761071,-1.7721719415923713,-1.4273710568107063
600.86508753862,-1.735794871594583,-1.511456133261138
600.1853759011328,-1.7120413518908721,-1.3904626864804221
599.5056642636457,-1.716245720649249,-1.5234396026071575
598.8259526261586,-1.7155550039233907,-1.5144583836298018
598.1462409886715,-1.7174691118831336,-1.4193289025813665
597.4665293511844,-1.6888781472170562,-1.422370702471457
596.7868177136972,-1.7360311119957683,-1.5085703031727482
596.1071060762101,-1.6837340851046256,-1.4751726989982268
595.427394438723,-1.6724314966728915,-1.4445321870804857
594.7476828012359,-1.669608546180549,-1.432637830673118
594.0679711637487,-1.692847819979034,-1.4212633717673
593.3882595262615,-1.6640569051260932,-1.433361987806363
592.7085478887744,-1.6795351561980565,-1.3650503550703046
592.0288362512873,-1.6506847095153052,-1.4799465706144748
591.3491246138002,-1.679630690276504,-1.4357565294347756
590.6694129763131,-1.6404464176402522,-1.4581139775572565
589.989701338826,-1.657104036964452,-1.4931787955010885
589.3099897013388,-1.6378009905074111,-1.4745491389275496
588.6302780638517,-1.6475679564547032,-1.5151003884889989
587.9505664263646,-1.6490282616444443,-1.489951654976247
587.2708547888774,-1.6345573836195553,-1.5152318299312626
586.5911431513903,-1.6467181885006381,-1.4487011921894122
585.9114315139032,-1.6329661337505066,-1.4892221066029032
585.231719876416,-1.6069082880923158,-1.4858182547571628
584.5520082389289,-1.5462578442808226,-1.4341078744982199
583.8722966014418,-1.578813922614119,-1.438074202214839
583.1925849639547,-1.5297798354558685,-1.45841941008532
582.5128733264676,-1.6274636700964764,-1.4979920430801745
581.8331616889805,-1.5891780458830818,-1.4930047950817806
581.1534500514933,-1.6042590704187156,-1.4864999943931787
580.4737384140062,-1.588664185838643,-1.4322233891883334
579.7940267765191,-1.6064651737604874,-1.4714238730210119
579.1143151390319,-1.5874489032694394,-1.561772963043739
578.4346035015448,-1.564147501270075,-1.4175996765939896
577.7548918640576,-1.6121762635564003,-1.5149790363532842
577.0751802265705,-1.5628118613236184,-1.552687153441996
576.3954685890834,-1.5519368039570869,-1.5258975266139658
575.7157569515963,-1.5613020723133457,-1.4927576338068873
575.0360453141092,-1.540419905971862,-1.567064196107732
574.3563336766221,-1.5602205719161473,-1.5383346009878467
573.6766220391349,-1.5296687047640403,-1.5089988749897847
572.9969104016478,-1.514808548416949,-1.5399274007975656
572.3171987641606,-1.5090792476759234,-1.588946293064424
571.6374871266735,-1.5153143143615202,-1.4166011101736424
570.9577754891864,-1.5050198430860025,-1.5137813261170965
570.2780638516992,-1.5185643404240246,-1.5522574280294517
569.5983522142121,-1.5040627240583961,-1.5122425782942632
568.918640576725,-1.5302775138813767,-1.5861018965342084
568.2389289392379,-1.4900849151779867,-1.5375807167713942
567.5592173017508,-1.4887613767076384,-1.5914648113992393
566.8795056642637,-1.4559867566709523,-1.6201646154510116
566.1997940267765,-1.4401650213777846,-1.5048111632652832
565.5200823892894,-1.422263327627722,-1.5591068272661939
564.8403707518023,-1.4165145923275015,-1.5763104569570263
564.1606591143152,-1.4441639553076446,-1.5331843133100704
563.480947476828,-1.3941931291820033,-1.5588701363925292
562.8012358393408,-1.4374524499491055,-1.5746260407876074
562.1215242018537,-1.4461271503604556,-1.5921367445364902
561.4418125643666,-1.4077862489029807,-1.5490724143444266
560.7621009268795,-1.4452311516100769,-1.6397539120752898
560.0823892893924,-1.4003343100970218,-1.7301466115905872
559.4026776519053,-1.4249115758471271,-1.6725704332252282
558.7229660144181,-1.4478503211435196,-1.7061938386804683
558.043254376931,-1.364810671790051,-1.654231929532967
557.3635427394439,-1.4097066089609491,-1.618298085027848
556.6838311019567,-1.3635377283388568,-1.625989430877081
556.0041194644696,-1.3627366255553746,-1.6170160416267767
555.3244078269825,-1.3804698925123722,-1.6588659552219331
554.6446961894953,-1.3199270816216186,-1.5790186935304251
553.9649845520082,-1.3269115991965539,-1.638830960685402
553.2852729145211,-1.344815225311174,-1.6612843920963747
552.605561277034,-1.3277808971304,-1.6145176020432552
551.9258496395469,-1.310081966474674,-1.668518464631634
551.2461380020598,-1.3347031992578524,-1.6970354263223852
550.5664263645726,-1.303674882870483,-1.6089457096304307
549.8867147270855,-1.300529071840098,-1.6828810148761946
549.2070030895984,-1.3027987695906718,-1.6479536549278166
548.5272914521112,-1.3069552113524139,-1.591368575492227
547.847579814624,-1.301155516265583,-1.6179080680837128
547.1678681771369,-1.2772379640382254,-1.65570327020226
546.4881565396498,-1.306903031556362,-1.636647326629648
545.8084449021627,-1.3104944022432785,-1.6773111487319097
545.1287332646756,-1.2756731454358763,-1.6989113575755168
544.4490216271885,-1.273118868634802,-1.7542004898977324
543.7693099897014,-1.3055774108545393,-1.6565689305607485
543.0895983522142,-1.259435976110792,-1.7318805075534864
542.4098867147271,-1.2864949391454974,-1.774170880164654
541.7301750772399,-1.250023633388451,-1.7072331662872624
541.0504634397528,-1.22923642198851,-1.7189101996051812
540.3707518022657,-1.2430583303901765,-1.7371256393513772
539.6910401647785,-1.2365707428690855,-1.756262632225968
539.0113285272914,-1.2228715407390869,-1.722811658580365
538.3316168898043,-1.2454350339017268,-1.7476384247615202
537.6519052523172,-1.2176575406236718,-1.7861773295836934
536.9721936148301,-1.22367117093094,-1.8310470723560384
536.292481977343,-1.1938898804149298,-1.7651262123811138
535.6127703398558,-1.2279667027701653,-1.7479701476266556
534.9330587023687,-1.1967951538745862,-1.794866086378458
534.2533470648816,-1.1746844585428236,-1.7641301488980814
533.5736354273945,-1.1867338839884516,-1.7364627745591816
532.8939237899073,-1.189281044314558,-1.753343073778322
532.2142121524201,-1.1782344233260829,-1.8542570848398696
531.534500514933,-1.209492043723815,-1.8304690207011403
530.8547888774459,-1.1633684639923219,-1.850131786693035
530.1750772399588,-1.1568840707764798,-1.8037906535977657
529.4953656024717,-1.1753748268686455,-1.794789554534187
528.8156539649846,-1.1648780697328713,-1.8183853025405359
528.1359423274974,-1.1579276548416055,-1.781540371178225
527.4562306900103,-1.1522315268962997,-1.7694011508684588
526.7765190525231,-1.1632191933940053,-1.9135069383808359
526.096807415036,-1.1465619691091986,-1.9020228188368677
525.4170957775489,-1.1349778584518893,-1.8884375998780292
524.7373841400617,-1.1539590450915835,-1.8135471944024364
524.0576725025746,-1.1142049841732604,-1.8051783824332108
523.3779608650875,-1.1608902306441544,-1.8543761176594427
522.6982492276004,-1.104880746307506,-1.82722579319421
522.0185375901133,-1.0865949696032142,-1.894417337860527
521.3388259526262,-1.0975661205494327,-1.8629653104014963
