z in mm,sigma xx in mm2,sigma xy in mm2,ysigma yx in mm2,sigma yy in mm2
660.0,231.33188614627682,9.535176169377511,9.535176169377507,205.92372239337155
659.3202883625129,199.71855245819546,11.986152451687861,11.986152451687861,165.81866303748717
658.6405767250258,199.61932674967818,11.711426872889444,11.711426872889442,162.83800501872585
657.9608650875387,197.76485455881732,11.368057193619862,11.368057193619864,163.9706019775069
657.2811534500515,198.71875090005443,11.197265251063726,11.197265251063728,164.79048241706894
656.6014418125644,200.03296264955674,11.78366018454251,11.783660184542512,166.20450950973057
655.9217301750772,199.4240951051263,11.619320096704095,11.619320096704095,165.21441321195172
655.2420185375901,199.69072456706323,12.096104465126405,12.096104465126405,165.70783051970022
654.562306900103,199.84039929009705,11.249212640795655,11.249212640795653,165.39650189410182
653.8825952626158,199.05689876504937,11.649409583089822,11.649409583089822,164.53754755071648
653.2028836251287,199.2586617587348,10.865696819365327,10.865696819365324,165.85292550565967
652.5231719876416,200.9211390474873,11.643234817405013,11.643234817405013,166.74174186246768
651.8434603501545,200.3662042971919,11.669014984120938,11.669014984120938,167.10786753238966
651.1637487126674,206.23627759090363,10.670228292415613,10.670228292415613,175.8830672760337
650.4840370751803,204.97244441339646,10.97321869683359,10.97321869683359,173.7000361314796
649.8043254376931,205.23098892669506,11.06917622548745,11.06917622548745,173.28773917312327
649.124613800206,205.56366864179697,11.219143103679222,11.219143103679222,175.2641999363369
648.4449021627188,205.6291720270387,11.035078166217934,11.035078166217934,176.14899447698156
647.7651905252317,205.9617917639552,10.663075810871863,10.663075810871861,175.6383951541272
647.0854788877446,206.28307953741614,10.65715631923827,10.65715631923827,174.56502789261364
646.4057672502574,205.64861172098472,11.28815466215633,11.28815466215633,175.5564629328305
645.7260556127703,204.89601670569303,11.350399348726492,11.350399348726489,177.84698807168473
645.0463439752832,205.9806993883893,10.661467048047085,10.661467048047086,176.31260585294294
644.3666323377961,205.0926103723554,11.326449127568656,11.326449127568658,175.99214341439645
643.686920700309,206.0296889733339,11.180338617411248,11.180338617411248,175.85155356351706
643.0072090628219,205.97118967911732,11.110057730045387,11.110057730045382,176.90825210621958
642.3274974253347,206.38161409442927,11.571007791439278,11.571007791439277,175.97736079863873
641.6477857878476,206.53722185089612,11.540812978940338,11.540812978940338,176.55641034554245
640.9680741503605,205.34587374891,11.113728865296263,11.113728865296263,176.79565887115692
640.2883625128733,206.36805239765303,11.267882005898908,11.267882005898908,176.50479073649024
639.6086508753862,207.221099419081,10.701420353087608,10.701420353087608,178.09354330084662
638.928939237899,206.31453197909804,11.157678392027467,11.157678392027467,178.78771959898174
638.2492276004119,206.43606520328572,11.213338129686026,11.213338129686028,179.45207765274506
637.5695159629248,206.65354109464863,11.758821568859384,11.758821568859384,176.89060869196962
636.8898043254377,205.63012252110053,11.52003595720746,11.52003595720746,179.1236890429266
636.2100926879506,207.46714262640086,10.863258510531123,10.863258510531121,179.4494713922786
635.5303810504635,206.52267803133526,10.743669115082156,10.743669115082152,180.3326189681915
634.8506694129763,206.66189648478814,11.227709854326616,11.227709854326617,180.31884851132378
634.1709577754892,206.96425569537928,11.717806035307495,11.717806035307495,179.7515103260134
633.4912461380021,205.65132559587786,11.629985911654794,11.629985911654794,178.08777871563532
632.8115345005149,205.73332889362106,11.893292461981368,11.893292461981368,180.0188757785027
632.1318228630278,205.41831366846108,11.294591262300942,11.294591262300944,178.89091724697514
631.4521112255406,206.2665586159906,11.009134897693336,11.009134897693338,180.58919791357215
630.7723995880535,205.77271866819962,11.29088171691464,11.29088171691464,180.40085236434857
630.0926879505664,207.1306558784178,10.906264245996018,10.90626424599602,181.11876604263156
629.4129763130793,206.89038873426819,11.308389296455733,11.308389296455731,181.13030790093433
628.7332646755922,206.94110142997707,11.510668397834426,11.510668397834428,182.14415120813655
628.0535530381051,192.4981784996977,12.283728529014775,12.283728529014777,164.20881813287954
627.373841400618,191.09557733285564,11.109769357012485,11.109769357012485,164.4655973938361
626.6941297631308,191.53572816437128,12.600995362258944,12.600995362258946,163.878897092156
626.0144181256437,191.907195002358,12.027965696382493,12.027965696382493,164.35710417327965
625.3347064881565,191.66057687856073,13.336833805936367,13.336833805936367,162.0671280323204
624.6549948506694,190.30996549535567,12.792054518537645,12.792054518537645,163.61083878522192
623.9752832131823,189.5845127400356,12.540383968717789,12.54038396871779,162.56197622479067
623.2955715756951,190.3383797645315,13.252829935573335,13.252829935573335,161.55374477026348
622.615859938208,190.75861366649363,12.780391255654347,12.780391255654347,162.1566866789205
621.9361483007209,191.37112242029553,12.509920205593295,12.509920205593295,164.3219643603178
621.2564366632338,189.9340009400644,12.885205051465592,12.885205051465586,163.99386438317813
620.5767250257467,190.66624632483453,12.462148643079624,12.46214864307963,165.73841394154144
619.8970133882596,189.62772654067416,13.752038751920319,13.75203875192032,164.68860425502373
619.2173017507724,191.5085011280455,12.89466073641865,12.894660736418649,165.24829749383025
618.5375901132853,191.24187807666183,13.402055203598653,13.402055203598657,163.82717061888582
617.8578784757981,190.70720548126397,12.456177208267594,12.456177208267594,166.99051669376982
617.178166838311,191.50621548199112,12.888485067559598,12.888485067559602,166.33459381206345
616.4984552008239,191.77644899424425,12.016260858321075,12.016260858321075,166.88257286596652
615.8187435633367,190.9375468014967,13.2818261530688,13.2818261530688,166.8171247923942
615.1390319258496,190.546474427452,13.004861179981463,13.004861179981463,167.1961539546985
614.4593202883625,190.90121570279118,13.107484217196989,13.107484217196989,167.64417766189817
613.7796086508754,191.86021766277528,12.594504244535003,12.594504244535003,168.160112226292
613.0998970133883,191.92882173715637,13.54687515200589,13.546875152005887,170.49205995000173
612.4201853759012,192.12988867186056,12.352354669445713,12.352354669445718,167.7593801878021
611.740473738414,191.37517542913793,13.067137920955293,13.067137920955293,168.16783081100485
611.0607621009269,191.2141295978995,13.03815897236285,13.03815897236285,168.25266225663236
610.3810504634398,191.99895994249124,13.041863396473163,13.04186339647316,169.1780822429554
609.7013388259526,191.85574499416646,13.46820348129422,13.468203481294212,169.43792329233366
609.0216271884655,191.16740464410643,12.819284231252077,12.819284231252077,170.439994144262
608.3419155509783,193.09687273541115,13.025024748061755,13.025024748061755,170.98293642927692
607.6622039134912,193.15181989269797,12.900564471191323,12.900564471191323,169.86750210258728
606.9824922760041,191.86742358067875,13.125611781166187,13.125611781166189,169.90223913498983
606.302780638517,193.31826956073502,13.69219627305499,13.69219627305499,170.70906644648625
605.6230690010299,192.06810429985492,12.644888362821677,12.644888362821677,171.65132232953874
604.9433573635428,190.51122391592,13.709690076987956,13.709690076987956,172.38174959743176
604.2636457260556,193.3070566759597,13.18405966464827,13.184059664648268,172.71491641659082
