z in mm,sigma xx in mm2,sigma xy in mm2,ysigma yx in mm2,sigma yy in mm2
660.0,234.74921284623804,6.340450102815638,6.34045010281564,210.0081815194158
659.377358490566,234.2673381827811,6.696004223371315,6.696004223371315,209.8613899472567
658.7547169811321,215.24060308512077,7.604486232450854,7.604486232450854,186.51949386785697
658.1320754716982,215.63357906754288,7.571564689073331,7.571564689073329,186.5094238338946
657.5094339622641,217.39365391797782,7.270611439175276,7.270611439175277,189.7390441881604
656.8867924528302,217.28131380625732,7.210995144191427,7.210995144191426,189.1666101353268
656.2641509433962,217.84069876323662,7.352727922605127,7.352727922605127,189.21888974663847
655.6415094339623,217.9599449662221,6.9320695009363025,6.9320695009363025,189.77346303856459
655.0188679245283,217.9269607491871,7.247196424251345,7.247196424251345,189.3836870062286
654.3962264150944,218.37158527105876,7.046358580954808,7.046358580954811,190.00893956255692
653.7735849056604,218.26733439451806,6.88274935034242,6.882749350342418,189.86752997230525
653.1509433962265,218.00749686412206,7.251693826858659,7.251693826858659,190.33510930579595
652.5283018867924,217.5118420679675,7.10229243958011,7.102292439580108,189.0031591009305
651.9056603773585,217.9122439920271,6.797984107925481,6.7979841079254815,189.05337189815887
651.2830188679245,218.1749632397072,6.9323737674154255,6.932373767415426,189.7417703068623
650.6603773584906,218.52812666455208,7.153782028619641,7.153782028619641,189.7049608308608
650.0377358490566,218.6277585461431,7.005435667536613,7.005435667536613,190.9489479000823
649.4150943396227,218.39946494701027,7.376442523442864,7.376442523442867,191.0954459263251
648.7924528301887,218.12744624497,7.055742226868451,7.0557422268684515,190.31890374785277
648.1698113207547,218.96089169804648,7.3998998569592835,7.3998998569592835,190.3237982106027
647.5471698113207,218.89865857075662,7.2070493489863745,7.207049348986374,191.6587671683686
646.9245283018868,218.99300572360536,6.8451128145392826,6.8451128145392826,191.34528706738664
646.3018867924528,218.815357801076,7.100039874377097,7.1000398743770985,191.42801067323865
645.6792452830189,219.10691461510288,6.951011742265294,6.951011742265294,191.58148976692652
645.0566037735849,219.8358445799256,7.162092887325738,7.162092887325739,191.18137464851256
644.433962264151,218.6965621780385,7.306390187302112,7.306390187302112,191.49777050434562
643.811320754717,218.74233004058337,7.1263364176569555,7.126336417656956,191.3855759490669
643.188679245283,218.55786076358848,7.03877871747737,7.03877871747737,191.03059815859064
642.566037735849,219.31515735757333,7.412764406628569,7.412764406628569,191.38042540525234
641.9433962264151,219.43299327762477,7.082527121947692,7.082527121947691,192.15149043424702
641.3207547169811,219.33243951224284,7.023511073260325,7.023511073260322,191.84655873579837
640.6981132075472,219.47399437292907,7.086283112771079,7.086283112771079,192.2761319533877
640.0754716981132,212.7012275474823,7.566473543675156,7.566473543675158,183.9697768625649
639.4528301886793,211.92273578612327,7.614220233153443,7.614220233153443,182.33217396914142
638.8301886792453,211.94546223297212,7.94131978040873,7.94131978040873,183.35750511484375
638.2075471698113,211.08822989027783,7.950846527835681,7.950846527835683,182.58219224210836
637.5849056603773,211.61590029493436,7.448216330794293,7.448216330794295,183.43596893352168
636.9622641509434,212.12797997817657,7.538970317302347,7.538970317302347,184.29101549519348
636.3396226415094,213.30489706689698,7.739834560652618,7.73983456065262,184.73686299210584
635.7169811320755,212.7051719082417,7.928646878870962,7.928646878870962,183.9802212539442
635.0943396226415,212.37006312970487,7.685116732662224,7.685116732662224,184.66536085353195
634.4716981132076,212.0657654818628,7.977594899841682,7.977594899841682,184.19328148967836
633.8490566037735,212.26238744171022,7.796702750389131,7.796702750389132,185.05155562916798
633.2264150943396,212.61631796673075,7.94341606791865,7.943416067918649,184.7505914009366
632.6037735849056,212.53649537135152,8.15610482878794,8.15610482878794,185.16592531833902
631.9811320754717,213.45918371424207,8.181731602590812,8.181731602590814,185.252552318092
631.3584905660377,213.70259993159308,7.777799239291535,7.777799239291535,185.37308699250067
630.7358490566038,213.21098006429762,7.715786014761838,7.715786014761836,184.57933428871036
630.1132075471698,213.36566284871063,7.63561082970463,7.635610829704631,185.8883161413347
629.4905660377359,212.38941230133983,7.739828541723976,7.739828541723977,184.95885340283743
628.8679245283018,212.4206560315835,7.844429042795699,7.844429042795699,185.6354375976384
628.2452830188679,212.62790091580274,7.623880284168602,7.623880284168602,185.3650990361109
627.622641509434,212.82837137388015,7.576519884943534,7.576519884943534,185.38585121333313
627.0,211.93760929603863,7.993312190547531,7.993312190547529,185.26869558166115
626.377358490566,213.27744639801938,8.191308528708316,8.191308528708316,186.30953466628887
625.7547169811321,212.7707927628522,8.029952591166586,8.029952591166586,186.67216184008663
625.1320754716982,212.80004772608197,7.841632367244828,7.84163236724483,186.22940613549656
624.5094339622642,212.09189246169635,7.547726432696036,7.5477264326960345,185.679456412002
623.8867924528302,212.79317382084005,8.214850972281202,8.214850972281198,186.84894282623006
623.2641509433962,212.71983539911056,8.127140573281144,8.127140573281144,186.02002595388424
622.6415094339623,212.8211652232113,8.108713822940716,8.108713822940716,186.152867752421
622.0188679245283,212.80338586147747,8.188546360334403,8.188546360334403,185.93719922329416
621.3962264150944,212.72568255028526,8.021462426105847,8.021462426105849,186.7371034925388
620.7735849056604,212.66967526681796,7.8217264105552005,7.821726410555201,186.33139970271912
620.1509433962265,212.66973231905675,7.907158631802949,7.90715863180295,187.190801890936
619.5283018867924,212.5104822182461,8.483522206856717,8.483522206856717,187.0890975488706
618.9056603773585,212.6256396458381,8.271739722211326,8.271739722211326,187.34686561729956
618.2830188679245,212.33136674968,8.350129097426736,8.350129097426736,187.84869240016945
617.6603773584906,212.54937056475623,7.7381411802002145,7.738141180200216,187.36626789609073
617.0377358490566,212.28447224932663,8.0510107065607,8.051010706560701,187.8320351418916
616.4150943396227,212.8936182957383,7.921462355816347,7.921462355816348,187.3917358200856
615.7924528301887,212.3959824425574,8.157391053370693,8.157391053370691,187.4446401652642
615.1698113207547,212.96396651200152,7.954026583760438,7.954026583760438,188.05133878015067
614.5471698113207,212.53604274225276,7.918737210285518,7.918737210285518,187.79531625574919
613.9245283018868,212.6255398421788,8.437678071984664,8.437678071984665,188.20211871628524
613.3018867924528,213.01868221619537,8.14425221255275,8.14425221255275,188.3605266066528
612.6792452830189,211.7406743676828,8.502373741787155,8.502373741787153,188.27755877619055
612.0566037735849,212.02836865405553,8.3455398852565,8.345539885256494,187.56437039325164
611.433962264151,211.65496492296617,8.193649726847353,8.193649726847353,187.99452484947994
610.811320754717,210.96559314145836,8.230094723725443,8.230094723725443,188.03684378459744
610.188679245283,211.83967861045957,8.540688041953478,8.540688041953478,187.85470862445572
609.566037735849,211.89513626234404,8.642732403478254,8.64273240347825,188.4533754580247
608.9433962264151,211.45180334798965,8.617785815687869,8.617785815687869,188.40102223734104
608.3207547169811,211.61366062920672,8.378561084388071,8.378561084388071,189.2360456658565
607.6981132075472,211.071867830759,8.607599803902696,8.607599803902696,189.02086320886798
607.0754716981132,212.11390515366722,8.513457932255754,8.513457932255754,189.0008468789381
606.4528301886793,212.13252302342667,8.670298747320931,8.670298747320931,189.15374093682914
605.8301886792453,211.44168523754746,8.510151588500927,8.510151588500927,188.9722110610537
605.2075471698113,211.09334498939955,8.59115747807275,8.59115747807275,188.91675087137114
604.5849056603773,211.58993942363566,8.895458369348205,8.895458369348203,189.4390273463339
603.9622641509434,212.0542627366074,8.741079611537561,8.741079611537561,189.1710631803833
603.3396226415094,211.79525541425403,8.606686156289632,8.606686156289632,188.6447975278208
602.7169811320755,211.25489661445775,8.827768056275696,8.8277680562757,189.0143214229822
602.0943396226415,211.21625160216416,8.708265628843652,8.708265628843652,189.4001107679497
601.4716981132076,210.91209583937876,8.445558811086414,8.445558811086414,189.0270960036024
600.8490566037735,211.4856703238767,8.634919664460726,8.634919664460725,188.9990430459855
600.2264150943396,210.79121306633527,8.91793212127807,8.91793212127807,188.88772051836972
599.6037735849056,210.9895006200637,8.698445649897952,8.698445649897952,189.45580414673282
598.9811320754717,210.61316719965174,8.904512286322108,8.904512286322108,189.5716808213676
598.3584905660377,211.35693138146874,8.79277882683614,8.79277882683614,188.98123972646852
597.7358490566038,212.12568958531887,8.949093735203663,8.949093735203663,189.93040698622468
597.1132075471698,211.4160501230801,9.226928783158689,9.226928783158689,189.7962289121654
596.4905660377359,211.97621778840406,9.04597540594455,9.045975405944548,189.50012791793003
595.8679245283018,211.44426186435064,9.033639644263548,9.033639644263548,189.6640721485708
595.2452830188679,211.08279782787687,8.900973321637716,8.900973321637718,190.2366472663151
594.622641509434,210.73062507724066,9.412709081986929,9.412709081986927,190.44662580203268
594.0,211.720032158125,8.821784584657845,8.821784584657845,189.65030418925832
593.377358490566,211.0097738072012,9.016467708500826,9.01646770850083,191.17363233534476
592.7547169811321,211.48997392176716,8.838693890224672,8.838693890224674,190.48318518805897
592.1320754716982,211.15015945247754,9.222025304368177,9.222025304368179,190.3579599084461
591.5094339622642,211.94263368245342,9.030189087573381,9.030189087573383,191.24242328137458
590.8867924528302,210.93662158687192,9.134659652630885,9.134659652630889,191.03444831679568
590.2641509433962,210.89099289238595,9.168919671017019,9.16891967101702,190.19442955947986
589.6415094339623,211.3207106325293,9.370840589810655,9.370840589810657,190.78886374541153
589.0188679245283,210.62319156511546,9.232606512860087,9.23260651286009,191.62459821678542
588.3962264150944,211.09433446068732,9.456360061268335,9.456360061268331,191.05491390114383
587.7735849056604,211.5595589329007,9.178607095349218,9.178607095349221,190.4063476828084
587.1509433962265,210.3299730713784,9.36937797592874,9.369377975928742,191.35567226210634
586.5283018867924,210.93518046999372,9.646321382386606,9.646321382386606,191.57765853670875
585.9056603773585,210.71948808888865,9.32641365321256,9.32641365321256,191.71653661911265
585.2830188679245,211.6315610981758,9.241464396146455,9.241464396146455,192.0080433742361
584.6603773584906,210.97950949693765,9.427413104501268,9.427413104501268,191.44503397515254
584.0377358490566,210.43911704512223,9.210361718474063,9.210361718474061,191.63831026515962
583.4150943396227,210.64923164298406,9.269118080937915,9.269118080937913,191.3625306654881
