z in mm,sigma xx in mm2,sigma xy in mm2,ysigma yx in mm2,sigma yy in mm2
660.0,326.08412368773185,-25.449534513048743,-25.449534513048746,47.86122872359306
659.3452380952381,325.7081471036563,-25.996318591247583,-25.996318591247583,47.90903186730546
658.6904761904761,311.9830943223306,-23.523735471097304,-23.523735471097304,40.51638154724947
658.0357142857143,312.7592120105109,-24.31104008232194,-24.311040082321945,40.90269794154211
657.3809523809524,312.5689816104623,-23.55276027507746,-23.55276027507746,40.26504292841185
656.7261904761905,312.0362736338016,-23.722544982201054,-23.722544982201057,40.46423683312191
656.0714285714286,312.2884238089966,-23.813980261130617,-23.813980261130617,40.39174461448227
655.4166666666666,312.4952746423848,-24.420031705454836,-24.420031705454836,40.88013509606508
654.7619047619048,312.5851164807708,-23.569483786123968,-23.569483786123968,40.520400135580346
654.1071428571429,311.4999447783172,-24.31561051624174,-24.31561051624174,40.70793251750208
653.452380952381,310.6977836274812,-24.24490195557278,-24.24490195557278,40.33549372489146
652.797619047619,310.26141805607205,-24.29982737171323,-24.299827371713224,40.07468754081265
652.1428571428571,310.4921108539507,-23.81350955588345,-23.813509555883456,40.349796856837315
651.4880952380952,310.51593850871757,-24.057609642666165,-24.057609642666172,40.13116483623524
650.8333333333334,310.4752798489424,-23.280702203667857,-23.280702203667854,39.94883061664724
650.1785714285714,310.5025635832291,-24.146437125346846,-24.146437125346846,40.16945569206277
649.5238095238095,310.8767782993005,-23.931101664571056,-23.93110166457106,40.02192961564016
648.8690476190476,310.9516602746329,-24.02056383105491,-24.02056383105492,40.28914116384607
648.2142857142857,310.28862459350364,-23.607399385418688,-23.607399385418685,39.5742986088652
647.5595238095239,310.10541399209075,-24.460849494335463,-24.460849494335474,40.04706634615515
646.9047619047619,310.41727967042243,-23.564252901829068,-23.564252901829068,39.58524490951034
646.25,310.85627165368686,-23.069394359911506,-23.069394359911502,39.71918559866336
645.5952380952381,311.43911604345067,-24.146128685631446,-24.146128685631446,40.486156503326235
644.9404761904761,309.86167047209136,-24.001919866671674,-24.00191986667168,40.09915411761387
644.2857142857143,308.4599853618239,-23.729943808337364,-23.72994380833736,40.50977564149615
643.6309523809524,310.71743510829157,-23.817917234535024,-23.817917234535024,40.040254756792216
642.9761904761905,311.0795602176257,-23.93702507104104,-23.93702507104104,40.19729999718998
642.3214285714286,310.2391361464544,-24.493612237980663,-24.493612237980663,40.26022745623165
641.6666666666666,310.35261858977765,-24.437055934657074,-24.437055934657074,40.14438242117655
